date,index,name,ticker,market_cap
2019-04-14,1,Bitcoin,BTC,$ 91.43B
2019-04-14,2,Ethereum,ETH,$ 17.78B
2019-04-14,3,XRP,XRP,$ 13.77B
2019-04-14,4,Bitcoin Cash,BCH,$ 5.09B
2019-04-14,5,Litecoin,LTC,$ 4.97B
2019-04-14,6,Binance Coin,BNB,$ 2.80B
2019-04-14,7,Stellar,XLM,$ 2.29B
2019-04-14,8,Cardano,ADA,$ 2.19B
2019-04-14,9,Tether,USDT,$ 2.07B
2019-04-14,10,TRON,TRX,$ 1.80B
2019-04-14,11,Bitcoin SV,BSV,$ 1.26B
2019-04-14,12,Monero,XMR,$ 1.15B
2019-04-14,13,Dash,DASH,$ 1.10B
2019-04-14,14,IOTA,IOTA,$ 888.54M
2019-04-14,15,Tezos,XTZ,$ 887.30M
2019-04-14,16,NEO,NEO,$ 736.45M
2019-04-14,17,Ethereum Classic,ETC,$ 703.33M
2019-04-14,18,Ontology,ONT,$ 671.59M
2019-04-14,19,NEM,XEM,$ 613.56M
2019-04-14,20,OKB,OKB,$ 480.31M
2019-04-14,21,Zcash,ZEC,$ 443.19M
2019-04-14,22,Cronos,CRO,$ 430.44M
2019-04-14,23,VeChain,VET,$ 388.68M
2019-04-14,24,Basic Attention Token,BAT,$ 385.67M
