date,index,name,ticker,market_cap
2019-08-08,1,Bitcoin,BTC,$ 210.47B
2019-08-08,2,Ethereum,ETH,$ 23.48B
2019-08-08,3,XRP,XRP,$ 13.15B
2019-08-08,4,Bitcoin Cash,BCH,$ 5.92B
2019-08-08,5,Litecoin,LTC,$ 5.69B
2019-08-08,6,Binance Coin,BNB,$ 4.89B
2019-08-08,7,Tether,USDT,$ 3.56B
2019-08-08,8,Bitcoin SV,BSV,$ 2.54B
2019-08-08,9,Monero,XMR,$ 1.61B
2019-08-08,10,Stellar,XLM,$ 1.51B
2019-08-08,11,TRON,TRX,$ 1.46B
2019-08-08,12,Cardano,ADA,$ 1.35B
2019-08-08,13,UNUS SED LEO,LEO,$ 1.26B
2019-08-08,14,Tezos,XTZ,$ 1.21B
2019-08-08,15,OKB,OKB,$ 1.16B
2019-08-08,16,Dash,DASH,$ 939.99M
2019-08-08,17,Chainlink,LINK,$ 826.00M
2019-08-08,18,NEO,NEO,$ 786.51M
2019-08-08,19,IOTA,IOTA,$ 755.26M
2019-08-08,20,Ethereum Classic,ETC,$ 670.86M
2019-08-08,21,Cosmos,ATOM,$ 617.83M
2019-08-08,22,NEM,XEM,$ 546.00M
2019-08-08,23,Ontology,ONT,$ 489.75M
2019-08-08,24,Zcash,ZEC,$ 441.95M
