date,index,name,ticker,market_cap
2019-01-30,1,Bitcoin,BTC,$ 60.57B
2019-01-30,2,XRP,XRP,$ 12.96B
2019-01-30,3,Ethereum,ETH,$ 11.32B
2019-01-30,4,Bitcoin Cash,BCH,$ 2.08B
2019-01-30,5,Tether,USDT,$ 2.06B
2019-01-30,6,Litecoin,LTC,$ 1.91B
2019-01-30,7,TRON,TRX,$ 1.81B
2019-01-30,8,Stellar,XLM,$ 1.63B
2019-01-30,9,Bitcoin SV,BSV,$ 1.15B
2019-01-30,10,Cardano,ADA,$ 1.02B
2019-01-30,11,Binance Coin,BNB,$ 808.64M
2019-01-30,12,IOTA,IOTA,$ 728.34M
2019-01-30,13,Monero,XMR,$ 726.14M
2019-01-30,14,Dash,DASH,$ 583.25M
2019-01-30,15,NEO,NEO,$ 461.50M
2019-01-30,16,Ethereum Classic,ETC,$ 430.57M
2019-01-30,17,NEM,XEM,$ 421.29M
2019-01-30,18,OKB,OKB,$ 353.49M
2019-01-30,19,USD Coin,USDC,$ 325.77M
2019-01-30,20,Tezos,XTZ,$ 293.91M
2019-01-30,21,Waves,WAVES,$ 290.00M
2019-01-30,22,Zcash,ZEC,$ 283.54M
2019-01-30,23,Dogecoin,DOGE,$ 231.11M
2019-01-30,24,VeChain,VET,$ 223.08M
