date,index,name,ticker,market_cap
2019-10-30,1,Bitcoin,BTC,$ 165.31B
2019-10-30,2,Ethereum,ETH,$ 19.82B
2019-10-30,3,XRP,XRP,$ 12.78B
2019-10-30,4,Bitcoin Cash,BCH,$ 5.26B
2019-10-30,5,Tether,USDT,$ 4.29B
2019-10-30,6,Litecoin,LTC,$ 3.69B
2019-10-30,7,Binance Coin,BNB,$ 3.07B
2019-10-30,8,Bitcoin SV,BSV,$ 2.45B
2019-10-30,9,TRON,TRX,$ 1.34B
2019-10-30,10,Stellar,XLM,$ 1.27B
2019-10-30,11,Cardano,ADA,$ 1.08B
2019-10-30,12,Monero,XMR,$ 1.01B
2019-10-30,13,Chainlink,LINK,$ 938.00M
2019-10-30,14,UNUS SED LEO,LEO,$ 933.15M
2019-10-30,15,Huobi Token,HT,$ 905.31M
2019-10-30,16,NEO,NEO,$ 787.21M
2019-10-30,17,IOTA,IOTA,$ 783.61M
2019-10-30,18,Tezos,XTZ,$ 729.43M
2019-10-30,19,Dash,DASH,$ 662.03M
2019-10-30,20,Cosmos,ATOM,$ 577.79M
2019-10-30,21,Ethereum Classic,ETC,$ 549.35M
2019-10-30,22,Ontology,ONT,$ 489.74M
2019-10-30,23,USD Coin,USDC,$ 468.94M
2019-10-30,24,Cronos,CRO,$ 389.20M
