date,index,name,ticker,market_cap
2019-05-03,1,Bitcoin,BTC,$ 101.49B
2019-05-03,2,Ethereum,ETH,$ 17.74B
2019-05-03,3,XRP,XRP,$ 12.89B
2019-05-03,4,Bitcoin Cash,BCH,$ 5.16B
2019-05-03,5,Litecoin,LTC,$ 4.86B
2019-05-03,6,Binance Coin,BNB,$ 3.32B
2019-05-03,7,Tether,USDT,$ 2.04B
2019-05-03,8,Stellar,XLM,$ 1.96B
2019-05-03,9,Cardano,ADA,$ 1.80B
2019-05-03,10,TRON,TRX,$ 1.60B
2019-05-03,11,Monero,XMR,$ 1.12B
2019-05-03,12,Dash,DASH,$ 1.05B
2019-05-03,13,Tezos,XTZ,$ 1.03B
2019-05-03,14,Bitcoin SV,BSV,$ 995.37M
2019-05-03,15,Cosmos,ATOM,$ 987.77M
2019-05-03,16,IOTA,IOTA,$ 806.54M
2019-05-03,17,Ethereum Classic,ETC,$ 665.53M
2019-05-03,18,NEO,NEO,$ 646.10M
2019-05-03,19,Ontology,ONT,$ 561.63M
2019-05-03,20,NEM,XEM,$ 506.14M
2019-05-03,21,OKB,OKB,$ 482.23M
2019-05-03,22,Basic Attention Token,BAT,$ 474.02M
2019-05-03,23,Cronos,CRO,$ 422.56M
2019-05-03,24,Zcash,ZEC,$ 406.60M
