date,index,name,ticker,market_cap
2019-06-01,1,Bitcoin,BTC,$ 152.42B
2019-06-01,2,Tether,USDT,$ 2.06B
2019-06-01,3,UNUS SED LEO,LEO,$ 1.42B
2019-06-01,4,Tezos,XTZ,$ 1.18B
2019-06-01,5,USD Coin,USDC,$ 336.59M
2019-06-01,6,Aurora,AOA,$ 101.21M
2019-06-01,7,Polymath,POLY,$ 44.97M
2019-06-01,8,Viction,VIC,$ 34.28M
2019-06-01,9,Fusion,FSN,$ 29.85M
2019-06-01,10,Gemini Dollar,GUSD,$ 21.53M
2019-06-01,11,BLOCKv,VEE,$ 12.02M
2019-06-01,12,Aeron,ARNX,$ 11.61M
2019-06-01,13,BF Token,BFT,$ 10.21M
2019-06-01,14,AVA,AVA,$ 5.98M
2019-06-01,15,Cloudbric,CLBK,$ 5.97M
2019-06-01,16,Abyss Token,ABYSS,$ 5.63M
2019-06-01,17,Flux,FLUX,$ 5.38M
2019-06-01,18,Cashaa,CAS,$ 5.09M
2019-06-01,19,KickToken,KICK,$ 3.89M
2019-06-01,20,PolySwarm,NCT,$ 3.82M
2019-06-01,21,Bismuth,BIS,$ 3.50M
2019-06-01,22,ADAMANT Messenger,ADM,$ 3.01M
2019-06-01,23,Vectorspace AI,VXV,$ 1.91M
2019-06-01,24,LikeCoin,LIKE,$ 1.77M
