date,index,name,ticker,market_cap
2019-11-09,1,Bitcoin,BTC,$ 158.86B
2019-11-09,2,Ethereum,ETH,$ 20.07B
2019-11-09,3,XRP,XRP,$ 12.06B
2019-11-09,4,Bitcoin Cash,BCH,$ 5.12B
2019-11-09,5,Tether,USDT,$ 4.29B
2019-11-09,6,Litecoin,LTC,$ 3.95B
2019-11-09,7,Binance Coin,BNB,$ 3.07B
2019-11-09,8,Bitcoin SV,BSV,$ 2.33B
2019-11-09,9,Stellar,XLM,$ 1.46B
2019-11-09,10,TRON,TRX,$ 1.26B
2019-11-09,11,Cardano,ADA,$ 1.09B
2019-11-09,12,Monero,XMR,$ 1.07B
2019-11-09,13,Chainlink,LINK,$ 1.00B
2019-11-09,14,Tezos,XTZ,$ 994.42M
2019-11-09,15,UNUS SED LEO,LEO,$ 973.80M
2019-11-09,16,Huobi Token,HT,$ 924.12M
2019-11-09,17,Cosmos,ATOM,$ 755.13M
2019-11-09,18,NEO,NEO,$ 749.83M
2019-11-09,19,IOTA,IOTA,$ 739.39M
2019-11-09,20,Dash,DASH,$ 638.98M
2019-11-09,21,Ethereum Classic,ETC,$ 570.16M
2019-11-09,22,Ontology,ONT,$ 474.92M
2019-11-09,23,USD Coin,USDC,$ 455.50M
2019-11-09,24,Cronos,CRO,$ 411.44M
