date,index,name,ticker,market_cap
2019-09-29,1,Bitcoin,BTC,$ 145.15B
2019-09-29,2,Ethereum,ETH,$ 18.37B
2019-09-29,3,XRP,XRP,$ 10.38B
2019-09-29,4,Bitcoin Cash,BCH,$ 3.96B
2019-09-29,5,Tether,USDT,$ 3.57B
2019-09-29,6,Litecoin,LTC,$ 3.43B
2019-09-29,7,Binance Coin,BNB,$ 2.38B
2019-09-29,8,Bitcoin SV,BSV,$ 1.47B
2019-09-29,9,Stellar,XLM,$ 1.16B
2019-09-29,10,UNUS SED LEO,LEO,$ 1.04B
2019-09-29,11,Cardano,ADA,$ 971.71M
2019-09-29,12,Monero,XMR,$ 967.50M
2019-09-29,13,TRON,TRX,$ 893.80M
2019-09-29,14,Huobi Token,HT,$ 756.74M
2019-09-29,15,IOTA,IOTA,$ 719.35M
2019-09-29,16,Tezos,XTZ,$ 714.44M
2019-09-29,17,Dash,DASH,$ 625.97M
2019-09-29,18,Chainlink,LINK,$ 599.94M
2019-09-29,19,Ethereum Classic,ETC,$ 520.37M
2019-09-29,20,NEO,NEO,$ 505.06M
2019-09-29,21,USD Coin,USDC,$ 429.28M
2019-09-29,22,Cosmos,ATOM,$ 417.61M
2019-09-29,23,Cronos,CRO,$ 377.41M
2019-09-29,24,NEM,XEM,$ 359.37M
