date,index,name,ticker,market_cap
2016-05-06,1,Bitcoin,BTC,$ 7.14B
2016-05-06,2,Ethereum,ETH,$ 737.19M
2016-05-06,3,XRP,XRP,$ 223.19M
2016-05-06,4,Litecoin,LTC,$ 173.60M
2016-05-06,5,Dash,DASH,$ 43.54M
2016-05-06,6,Dogecoin,DOGE,$ 23.33M
2016-05-06,7,NEM,XEM,$ 14.33M
2016-05-06,8,Monero,XMR,$ 10.43M
2016-05-06,9,Stellar,XLM,$ 10.11M
2016-05-06,10,BitShares,BTS,$ 10.00M
2016-05-06,11,Peercoin,PPC,$ 9.80M
2016-05-06,12,FedoraCoin,TIPS,$ 9.56M
2016-05-06,13,Steem,STEEM,$ 7.27M
2016-05-06,14,Namecoin,NMC,$ 6.01M
2016-05-06,15,Feathercoin,FTC,$ 4.71M
2016-05-06,16,Syscoin,SYS,$ 3.80M
2016-05-06,17,Decred,DCR,$ 2.39M
2016-05-06,18,Auroracoin,AUR,$ 2.15M
2016-05-06,19,Tether,USDT,$ 1.95M
2016-05-06,20,MonaCoin,MONA,$ 1.93M
2016-05-06,21,DigiByte,DGB,$ 1.90M
2016-05-06,22,Siacoin,SC,$ 1.31M
2016-05-06,23,ReddCoin,RDD,$ 1.24M
2016-05-06,24,EarthCoin,EAC,$ 1.19M
