date,index,name,ticker,market_cap
2016-03-11,1,Bitcoin,BTC,$ 6.45B
2016-03-11,2,Ethereum,ETH,$ 876.52M
2016-03-11,3,XRP,XRP,$ 299.98M
2016-03-11,4,Litecoin,LTC,$ 151.56M
2016-03-11,5,Dash,DASH,$ 32.79M
2016-03-11,6,Dogecoin,DOGE,$ 25.71M
2016-03-11,7,BitShares,BTS,$ 20.39M
2016-03-11,8,Stellar,XLM,$ 14.39M
2016-03-11,9,Monero,XMR,$ 12.50M
2016-03-11,10,NEM,XEM,$ 11.97M
2016-03-11,11,Peercoin,PPC,$ 11.79M
2016-03-11,12,Namecoin,NMC,$ 7.38M
2016-03-11,13,FedoraCoin,TIPS,$ 6.59M
2016-03-11,14,Decred,DCR,$ 2.62M
2016-03-11,15,Verge,XVG,$ 2.02M
2016-03-11,16,EarthCoin,EAC,$ 1.99M
2016-03-11,17,MonaCoin,MONA,$ 1.97M
2016-03-11,18,Syscoin,SYS,$ 1.75M
2016-03-11,19,Tether,USDT,$ 1.45M
2016-03-11,20,DigiByte,DGB,$ 1.39M
2016-03-11,21,Primecoin,XPM,$ 1.30M
2016-03-11,22,Novacoin,NVC,$ 1.25M
2016-03-11,23,Siacoin,SC,$ 1.25M
2016-03-11,24,Quark,QRK,$ 1.21M
