date,index,name,ticker,market_cap
2016-05-17,1,Bitcoin,BTC,$ 7.06B
2016-05-17,2,Ethereum,ETH,$ 977.45M
2016-05-17,3,XRP,XRP,$ 210.23M
2016-05-17,4,Litecoin,LTC,$ 182.21M
2016-05-17,5,Dash,DASH,$ 47.35M
2016-05-17,6,Dogecoin,DOGE,$ 23.52M
2016-05-17,7,NEM,XEM,$ 13.36M
2016-05-17,8,Steem,STEEM,$ 11.15M
2016-05-17,9,Monero,XMR,$ 9.73M
2016-05-17,10,Stellar,XLM,$ 9.32M
2016-05-17,11,BitShares,BTS,$ 9.29M
2016-05-17,12,FedoraCoin,TIPS,$ 9.04M
2016-05-17,13,Peercoin,PPC,$ 8.79M
2016-05-17,14,Namecoin,NMC,$ 5.44M
2016-05-17,15,Feathercoin,FTC,$ 3.69M
2016-05-17,16,Syscoin,SYS,$ 3.46M
2016-05-17,17,Decred,DCR,$ 2.91M
2016-05-17,18,Siacoin,SC,$ 2.36M
2016-05-17,19,Tether,USDT,$ 1.95M
2016-05-17,20,DigiByte,DGB,$ 1.82M
2016-05-17,21,MonaCoin,MONA,$ 1.61M
2016-05-17,22,Auroracoin,AUR,$ 1.49M
2016-05-17,23,ReddCoin,RDD,$ 1.15M
2016-05-17,24,EarthCoin,EAC,$ 1.09M
