date,index,name,ticker,market_cap
2016-02-29,1,Bitcoin,BTC,$ 6.66B
2016-02-29,2,Ethereum,ETH,$ 488.90M
2016-02-29,3,XRP,XRP,$ 270.01M
2016-02-29,4,Litecoin,LTC,$ 153.74M
2016-02-29,5,Dogecoin,DOGE,$ 25.71M
2016-02-29,6,Dash,DASH,$ 24.39M
2016-02-29,7,Peercoin,PPC,$ 10.74M
2016-02-29,8,BitShares,BTS,$ 10.11M
2016-02-29,9,Monero,XMR,$ 9.67M
2016-02-29,10,Stellar,XLM,$ 9.38M
2016-02-29,11,Namecoin,NMC,$ 5.80M
2016-02-29,12,NEM,XEM,$ 5.77M
2016-02-29,13,Decred,DCR,$ 1.99M
2016-02-29,14,EarthCoin,EAC,$ 1.88M
2016-02-29,15,MonaCoin,MONA,$ 1.86M
2016-02-29,16,FedoraCoin,TIPS,$ 1.59M
2016-02-29,17,Syscoin,SYS,$ 1.48M
2016-02-29,18,Tether,USDT,$ 1.45M
2016-02-29,19,Quark,QRK,$ 1.30M
2016-02-29,20,Novacoin,NVC,$ 1.29M
2016-02-29,21,DigiByte,DGB,$ 1.24M
2016-02-29,22,Primecoin,XPM,$ 1.13M
2016-02-29,23,Validity,VAL,$ 1.05M
2016-02-29,24,WorldCoin,WDC,"$ 931,666"
