date,index,name,ticker,market_cap
2016-06-01,1,Bitcoin,BTC,$ 8.35B
2016-06-01,2,Ethereum,ETH,$ 1.13B
2016-06-01,3,Litecoin,LTC,$ 217.84M
2016-06-01,4,XRP,XRP,$ 202.20M
2016-06-01,5,Dash,DASH,$ 53.43M
2016-06-01,6,Dogecoin,DOGE,$ 24.42M
2016-06-01,7,NEM,XEM,$ 17.96M
2016-06-01,8,Steem,STEEM,$ 17.68M
2016-06-01,9,Monero,XMR,$ 11.15M
2016-06-01,10,FedoraCoin,TIPS,$ 10.95M
2016-06-01,11,BitShares,BTS,$ 8.85M
2016-06-01,12,Stellar,XLM,$ 8.37M
2016-06-01,13,Peercoin,PPC,$ 8.25M
2016-06-01,14,Namecoin,NMC,$ 5.12M
2016-06-01,15,Siacoin,SC,$ 4.78M
2016-06-01,16,Decred,DCR,$ 3.17M
2016-06-01,17,Tether,USDT,$ 2.95M
2016-06-01,18,Syscoin,SYS,$ 2.44M
2016-06-01,19,DigiByte,DGB,$ 1.98M
2016-06-01,20,Feathercoin,FTC,$ 1.93M
2016-06-01,21,MonaCoin,MONA,$ 1.77M
2016-06-01,22,Auroracoin,AUR,$ 1.36M
2016-06-01,23,EarthCoin,EAC,$ 1.26M
2016-06-01,24,ReddCoin,RDD,$ 1.09M
