date,index,name,ticker,market_cap
2016-06-18,1,Bitcoin,BTC,$ 11.77B
2016-06-18,2,Ethereum,ETH,$ 933.00M
2016-06-18,3,Litecoin,LTC,$ 257.29M
2016-06-18,4,XRP,XRP,$ 230.94M
2016-06-18,5,Dash,DASH,$ 53.25M
2016-06-18,6,Lisk,LSK,$ 35.88M
2016-06-18,7,Dogecoin,DOGE,$ 33.69M
2016-06-18,8,NEM,XEM,$ 26.24M
2016-06-18,9,Monero,XMR,$ 24.86M
2016-06-18,10,Steem,STEEM,$ 17.45M
2016-06-18,11,Siacoin,SC,$ 12.41M
2016-06-18,12,Peercoin,PPC,$ 10.50M
2016-06-18,13,BitShares,BTS,$ 10.01M
2016-06-18,14,Stellar,XLM,$ 9.64M
2016-06-18,15,FedoraCoin,TIPS,$ 8.63M
2016-06-18,16,Namecoin,NMC,$ 6.60M
2016-06-18,17,Tether,USDT,$ 5.95M
2016-06-18,18,Feathercoin,FTC,$ 5.50M
2016-06-18,19,Decred,DCR,$ 3.58M
2016-06-18,20,Syscoin,SYS,$ 2.95M
2016-06-18,21,DigiByte,DGB,$ 2.21M
2016-06-18,22,MonaCoin,MONA,$ 2.01M
2016-06-18,23,Auroracoin,AUR,$ 1.71M
2016-06-18,24,EarthCoin,EAC,$ 1.65M
