date,index,name,ticker,market_cap
2016-09-05,1,Bitcoin,BTC,$ 9.63B
2016-09-05,2,Ethereum,ETH,$ 976.34M
2016-09-05,3,XRP,XRP,$ 209.09M
2016-09-05,4,Litecoin,LTC,$ 189.05M
2016-09-05,5,Monero,XMR,$ 174.92M
2016-09-05,6,Ethereum Classic,ETC,$ 123.04M
2016-09-05,7,Steem,STEEM,$ 107.25M
2016-09-05,8,Dash,DASH,$ 75.19M
2016-09-05,9,NEM,XEM,$ 51.26M
2016-09-05,10,Lisk,LSK,$ 25.16M
2016-09-05,11,Dogecoin,DOGE,$ 25.15M
2016-09-05,12,Waves,WAVES,$ 16.74M
2016-09-05,13,BitShares,BTS,$ 14.01M
2016-09-05,14,Stellar,XLM,$ 10.93M
2016-09-05,15,Peercoin,PPC,$ 8.19M
2016-09-05,16,Siacoin,SC,$ 8.15M
2016-09-05,17,Tether,USDT,$ 6.95M
2016-09-05,18,Syscoin,SYS,$ 5.82M
2016-09-05,19,FedoraCoin,TIPS,$ 4.60M
2016-09-05,20,Namecoin,NMC,$ 4.26M
2016-09-05,21,Decred,DCR,$ 3.85M
2016-09-05,22,DigiByte,DGB,$ 2.53M
2016-09-05,23,Stratis,STRAX,$ 2.25M
2016-09-05,24,NAV Coin,NAV,$ 2.21M
