date,index,name,ticker,market_cap
2017-10-28,1,Bitcoin,BTC,$ 96.36B
2017-10-28,2,Ethereum,ETH,$ 28.42B
2017-10-28,3,XRP,XRP,$ 7.78B
2017-10-28,4,Bitcoin Cash,BCH,$ 6.83B
2017-10-28,5,Litecoin,LTC,$ 2.93B
2017-10-28,6,Dash,DASH,$ 2.10B
2017-10-28,7,NEM,XEM,$ 1.79B
2017-10-28,8,NEO,NEO,$ 1.36B
2017-10-28,9,Monero,XMR,$ 1.32B
2017-10-28,10,IOTA,IOTA,$ 1.12B
2017-10-28,11,Ethereum Classic,ETC,$ 1.02B
2017-10-28,12,OMG Network,OMG,$ 718.20M
2017-10-28,13,Cardano,ADA,$ 672.42M
2017-10-28,14,Zcash,ZEC,$ 585.94M
2017-10-28,15,Stellar,XLM,$ 531.48M
2017-10-28,16,Tether,USDT,$ 452.06M
2017-10-28,17,Waves,WAVES,$ 348.71M
2017-10-28,18,Ark,ARK,$ 241.52M
2017-10-28,19,Steem,STEEM,$ 230.13M
2017-10-28,20,Vertcoin,VTC,$ 217.66M
2017-10-28,21,Komodo,KMD,$ 197.46M
2017-10-28,22,TRON,TRX,$ 196.10M
2017-10-28,23,Decred,DCR,$ 193.75M
2017-10-28,24,PIVX,PIVX,$ 179.13M
