date,index,name,ticker,market_cap
2017-07-25,1,Bitcoin,BTC,$ 42.15B
2017-07-25,2,Ethereum,ETH,$ 18.80B
2017-07-25,3,XRP,XRP,$ 6.70B
2017-07-25,4,Litecoin,LTC,$ 2.18B
2017-07-25,5,Dash,DASH,$ 1.44B
2017-07-25,6,NEM,XEM,$ 1.43B
2017-07-25,7,Ethereum Classic,ETC,$ 1.38B
2017-07-25,8,IOTA,IOTA,$ 683.69M
2017-07-25,9,Monero,XMR,$ 592.46M
2017-07-25,10,Stratis,STRAX,$ 464.60M
2017-07-25,11,NEO,NEO,$ 361.64M
2017-07-25,12,BitShares,BTS,$ 341.70M
2017-07-25,13,Zcash,ZEC,$ 333.92M
2017-07-25,14,Tether,USDT,$ 319.50M
2017-07-25,15,Veritaseum,VERI,$ 318.33M
2017-07-25,16,Steem,STEEM,$ 306.48M
2017-07-25,17,Waves,WAVES,$ 297.87M
2017-07-25,18,Siacoin,SC,$ 244.99M
2017-07-25,19,Lisk,LSK,$ 226.73M
2017-07-25,20,Status,SNT,$ 202.30M
2017-07-25,21,Stellar,XLM,$ 198.57M
2017-07-25,22,Dogecoin,DOGE,$ 195.40M
2017-07-25,23,DigiByte,DGB,$ 149.86M
2017-07-25,24,Decred,DCR,$ 137.55M
