date,index,name,ticker,market_cap
2017-12-30,1,Bitcoin,BTC,$ 218.87B
2017-12-30,2,XRP,XRP,$ 81.00B
2017-12-30,3,Ethereum,ETH,$ 68.34B
2017-12-30,4,Bitcoin Cash,BCH,$ 41.24B
2017-12-30,5,Cardano,ADA,$ 17.28B
2017-12-30,6,Litecoin,LTC,$ 11.77B
2017-12-30,7,IOTA,IOTA,$ 9.29B
2017-12-30,8,NEM,XEM,$ 8.42B
2017-12-30,9,Dash,DASH,$ 7.73B
2017-12-30,10,Stellar,XLM,$ 5.67B
2017-12-30,11,Monero,XMR,$ 5.29B
2017-12-30,12,NEO,NEO,$ 4.62B
2017-12-30,13,Bitcoin Gold,BTG,$ 4.33B
2017-12-30,14,Ethereum Classic,ETC,$ 2.70B
2017-12-30,15,TRON,TRX,$ 2.43B
2017-12-30,16,Verge,XVG,$ 2.01B
2017-12-30,17,ICON,ICX,$ 1.96B
2017-12-30,18,BitShares,BTS,$ 1.63B
2017-12-30,19,Nano,XNO,$ 1.58B
2017-12-30,20,OMG Network,OMG,$ 1.54B
2017-12-30,21,Zcash,ZEC,$ 1.48B
2017-12-30,22,Tether,USDT,$ 1.38B
2017-12-30,23,Waves,WAVES,$ 1.19B
2017-12-30,24,Komodo,KMD,$ 984.01M
