date,index,name,ticker,market_cap
2017-09-24,1,Bitcoin,BTC,$ 61.30B
2017-09-24,2,Ethereum,ETH,$ 27.11B
2017-09-24,3,Bitcoin Cash,BCH,$ 7.04B
2017-09-24,4,XRP,XRP,$ 6.75B
2017-09-24,5,Dash,DASH,$ 2.55B
2017-09-24,6,Litecoin,LTC,$ 2.54B
2017-09-24,7,NEM,XEM,$ 1.95B
2017-09-24,8,IOTA,IOTA,$ 1.48B
2017-09-24,9,Monero,XMR,$ 1.36B
2017-09-24,10,Ethereum Classic,ETC,$ 1.01B
2017-09-24,11,NEO,NEO,$ 991.09M
2017-09-24,12,OMG Network,OMG,$ 853.11M
2017-09-24,13,Lisk,LSK,$ 650.14M
2017-09-24,14,Qtum,QTUM,$ 480.26M
2017-09-24,15,Zcash,ZEC,$ 458.36M
2017-09-24,16,Tether,USDT,$ 442.76M
2017-09-24,17,Waves,WAVES,$ 384.75M
2017-09-24,18,Ark,ARK,$ 296.42M
2017-09-24,19,Steem,STEEM,$ 259.59M
2017-09-24,20,Kyber Network Crystal,KNC,$ 248.66M
2017-09-24,21,MaidSafeCoin,MAID,$ 216.99M
2017-09-24,22,TenX,PAY,$ 214.56M
2017-09-24,23,Golem,GLM,$ 206.39M
2017-09-24,24,Basic Attention Token,BAT,$ 202.60M
