date,index,name,ticker,market_cap
2017-01-23,1,Bitcoin,BTC,$ 14.89B
2017-01-23,2,Ethereum,ETH,$ 950.93M
2017-01-23,3,XRP,XRP,$ 246.78M
2017-01-23,4,Litecoin,LTC,$ 190.57M
2017-01-23,5,Monero,XMR,$ 169.29M
2017-01-23,6,Ethereum Classic,ETC,$ 122.71M
2017-01-23,7,Dash,DASH,$ 106.90M
2017-01-23,8,Steem,STEEM,$ 36.66M
2017-01-23,9,NEM,XEM,$ 33.24M
2017-01-23,10,Waves,WAVES,$ 24.26M
2017-01-23,11,Dogecoin,DOGE,$ 22.26M
2017-01-23,12,Zcash,ZEC,$ 21.47M
2017-01-23,13,Stellar,XLM,$ 16.03M
2017-01-23,14,Lisk,LSK,$ 15.89M
2017-01-23,15,Tether,USDT,$ 14.95M
2017-01-23,16,BitShares,BTS,$ 9.63M
2017-01-23,17,Stratis,STRAX,$ 8.67M
2017-01-23,18,Siacoin,SC,$ 8.13M
2017-01-23,19,NEO,NEO,$ 6.47M
2017-01-23,20,Peercoin,PPC,$ 6.47M
2017-01-23,21,Syscoin,SYS,$ 5.01M
2017-01-23,22,PotCoin,POT,$ 4.34M
2017-01-23,23,Nexus,NXS,$ 4.03M
2017-01-23,24,Decred,DCR,$ 3.56M
