date,index,name,ticker,market_cap
2017-11-06,1,Bitcoin,BTC,$ 120.10B
2017-11-06,2,Ethereum,ETH,$ 29.28B
2017-11-06,3,Bitcoin Cash,BCH,$ 10.42B
2017-11-06,4,XRP,XRP,$ 7.99B
2017-11-06,5,Litecoin,LTC,$ 2.99B
2017-11-06,6,Dash,DASH,$ 2.15B
2017-11-06,7,NEO,NEO,$ 1.74B
2017-11-06,8,NEM,XEM,$ 1.70B
2017-11-06,9,Monero,XMR,$ 1.49B
2017-11-06,10,Ethereum Classic,ETC,$ 1.46B
2017-11-06,11,IOTA,IOTA,$ 1.02B
2017-11-06,12,OMG Network,OMG,$ 641.85M
2017-11-06,13,Cardano,ADA,$ 597.86M
2017-11-06,14,Zcash,ZEC,$ 592.80M
2017-11-06,15,Tether,USDT,$ 515.37M
2017-11-06,16,Stellar,XLM,$ 466.69M
2017-11-06,17,Waves,WAVES,$ 364.88M
2017-11-06,18,Komodo,KMD,$ 271.48M
2017-11-06,19,Ark,ARK,$ 253.10M
2017-11-06,20,Steem,STEEM,$ 217.67M
2017-11-06,21,Decred,DCR,$ 174.52M
2017-11-06,22,PIVX,PIVX,$ 162.46M
2017-11-06,23,BitShares,BTS,$ 154.61M
2017-11-06,24,Vertcoin,VTC,$ 150.94M
