date,index,name,ticker,market_cap
2021-02-12,1,Bitcoin,BTC,$ 890.02B
2021-02-12,2,Ethereum,ETH,$ 211.19B
2021-02-12,3,Tether,USDT,$ 31.10B
2021-02-12,4,Cardano,ADA,$ 28.78B
2021-02-12,5,Polkadot,DOT,$ 25.66B
2021-02-12,6,XRP,XRP,$ 25.57B
2021-02-12,7,Binance Coin,BNB,$ 20.84B
2021-02-12,8,Litecoin,LTC,$ 12.95B
2021-02-12,9,Chainlink,LINK,$ 12.51B
2021-02-12,10,Stellar,XLM,$ 11.58B
2021-02-12,11,Bitcoin Cash,BCH,$ 10.40B
2021-02-12,12,Dogecoin,DOGE,$ 9.53B
2021-02-12,13,USD Coin,USDC,$ 7.01B
2021-02-12,14,Aave,AAVE,$ 6.62B
2021-02-12,15,Cosmos,ATOM,$ 4.55B
2021-02-12,16,Bitcoin SV,BSV,$ 4.25B
2021-02-12,17,Uniswap,UNI,$ 4.14B
2021-02-12,18,Avalanche,AVAX,$ 3.95B
2021-02-12,19,Tezos,XTZ,$ 3.88B
2021-02-12,20,TRON,TRX,$ 3.72B
2021-02-12,21,Monero,XMR,$ 3.63B
2021-02-12,22,NEM,XEM,$ 3.61B
2021-02-12,23,IOTA,IOTA,$ 3.46B
2021-02-12,24,Synthetix,SNX,$ 3.16B
