date,index,name,ticker,market_cap
2021-01-15,1,Bitcoin,BTC,$ 677.05B
2021-01-15,2,Ethereum,ETH,$ 132.99B
2021-01-15,3,Tether,USDT,$ 24.30B
2021-01-15,4,XRP,XRP,$ 12.08B
2021-01-15,5,Polkadot,DOT,$ 11.88B
2021-01-15,6,Cardano,ADA,$ 9.51B
2021-01-15,7,Litecoin,LTC,$ 9.36B
2021-01-15,8,Bitcoin Cash,BCH,$ 8.99B
2021-01-15,9,Chainlink,LINK,$ 8.11B
2021-01-15,10,Stellar,XLM,$ 6.23B
2021-01-15,11,Binance Coin,BNB,$ 5.81B
2021-01-15,12,USD Coin,USDC,$ 4.88B
2021-01-15,13,Bitcoin SV,BSV,$ 3.83B
2021-01-15,14,Monero,XMR,$ 2.79B
2021-01-15,15,Celsius Network,CEL,$ 2.17B
2021-01-15,16,Tezos,XTZ,$ 2.04B
2021-01-15,17,TRON,TRX,$ 1.97B
2021-01-15,18,Aave,AAVE,$ 1.95B
2021-01-15,19,NEM,XEM,$ 1.92B
2021-01-15,20,Theta Token,THETA,$ 1.81B
2021-01-15,21,Cosmos,ATOM,$ 1.67B
2021-01-15,22,OKB,OKB,$ 1.64B
2021-01-15,23,NEO,NEO,$ 1.63B
2021-01-15,24,Synthetix,SNX,$ 1.62B
