date,index,name,ticker,market_cap
2021-03-17,1,Bitcoin,BTC,$ 1.09T
2021-03-17,2,Ethereum,ETH,$ 209.61B
2021-03-17,3,Cardano,ADA,$ 42.92B
2021-03-17,4,Binance Coin,BNB,$ 40.93B
2021-03-17,5,Tether,USDT,$ 38.92B
2021-03-17,6,Polkadot,DOT,$ 32.26B
2021-03-17,7,XRP,XRP,$ 20.38B
2021-03-17,8,Litecoin,LTC,$ 13.67B
2021-03-17,9,Chainlink,LINK,$ 12.72B
2021-03-17,10,Bitcoin Cash,BCH,$ 10.06B
2021-03-17,11,USD Coin,USDC,$ 9.62B
2021-03-17,12,Stellar,XLM,$ 9.11B
2021-03-17,13,Terra Classic,LUNC,$ 7.79B
2021-03-17,14,Dogecoin,DOGE,$ 7.52B
2021-03-17,15,Theta Token,THETA,$ 6.67B
2021-03-17,16,Uniswap,UNI,$ 5.68B
2021-03-17,17,Filecoin,FIL,$ 5.05B
2021-03-17,18,Cronos,CRO,$ 4.97B
2021-03-17,19,Aave,AAVE,$ 4.72B
2021-03-17,20,Cosmos,ATOM,$ 4.42B
2021-03-17,21,VeChain,VET,$ 4.26B
2021-03-17,22,Monero,XMR,$ 4.20B
2021-03-17,23,Avalanche,AVAX,$ 4.17B
2021-03-17,24,OKB,OKB,$ 4.10B
