date,index,name,ticker,market_cap
2021-03-03,1,Bitcoin,BTC,$ 949.09B
2021-03-03,2,Ethereum,ETH,$ 183.30B
2021-03-03,3,Cardano,ADA,$ 38.68B
2021-03-03,4,Binance Coin,BNB,$ 37.70B
2021-03-03,5,Tether,USDT,$ 35.96B
2021-03-03,6,Polkadot,DOT,$ 33.59B
2021-03-03,7,XRP,XRP,$ 19.51B
2021-03-03,8,Litecoin,LTC,$ 12.61B
2021-03-03,9,Chainlink,LINK,$ 12.41B
2021-03-03,10,Bitcoin Cash,BCH,$ 9.89B
2021-03-03,11,Stellar,XLM,$ 9.55B
2021-03-03,12,USD Coin,USDC,$ 8.85B
2021-03-03,13,NEM,XEM,$ 7.18B
2021-03-03,14,Dogecoin,DOGE,$ 6.56B
2021-03-03,15,Aave,AAVE,$ 4.98B
2021-03-03,16,OKB,OKB,$ 4.85B
2021-03-03,17,Uniswap,UNI,$ 4.70B
2021-03-03,18,Cosmos,ATOM,$ 4.50B
2021-03-03,19,Monero,XMR,$ 3.99B
2021-03-03,20,Cronos,CRO,$ 3.80B
2021-03-03,21,Solana,SOL,$ 3.73B
2021-03-03,22,Bitcoin SV,BSV,$ 3.56B
2021-03-03,23,Theta Token,THETA,$ 3.46B
2021-03-03,24,IOTA,IOTA,$ 3.45B
