date,index,name,ticker,market_cap
2021-01-05,1,Bitcoin,BTC,$ 634.28B
2021-01-05,2,Ethereum,ETH,$ 125.90B
2021-01-05,3,Tether,USDT,$ 21.94B
2021-01-05,4,Litecoin,LTC,$ 10.62B
2021-01-05,5,XRP,XRP,$ 9.77B
2021-01-05,6,Polkadot,DOT,$ 8.87B
2021-01-05,7,Cardano,ADA,$ 8.24B
2021-01-05,8,Bitcoin Cash,BCH,$ 7.82B
2021-01-05,9,Binance Coin,BNB,$ 5.92B
2021-01-05,10,Chainlink,LINK,$ 5.88B
2021-01-05,11,USD Coin,USDC,$ 4.39B
2021-01-05,12,Stellar,XLM,$ 4.35B
2021-01-05,13,Bitcoin SV,BSV,$ 3.16B
2021-01-05,14,Celsius Network,CEL,$ 2.74B
2021-01-05,15,Monero,XMR,$ 2.46B
2021-01-05,16,OKB,OKB,$ 2.10B
2021-01-05,17,Theta Token,THETA,$ 1.92B
2021-01-05,18,TRON,TRX,$ 1.91B
2021-01-05,19,NEM,XEM,$ 1.84B
2021-01-05,20,Tezos,XTZ,$ 1.80B
2021-01-05,21,VeChain,VET,$ 1.57B
2021-01-05,22,Cronos,CRO,$ 1.50B
2021-01-05,23,Aave,AAVE,$ 1.44B
2021-01-05,24,Synthetix,SNX,$ 1.40B
