date,index,name,ticker,market_cap
2021-01-07,1,Bitcoin,BTC,$ 737.14B
2021-01-07,2,Ethereum,ETH,$ 143.13B
2021-01-07,3,Tether,USDT,$ 22.98B
2021-01-07,4,XRP,XRP,$ 14.51B
2021-01-07,5,Litecoin,LTC,$ 11.44B
2021-01-07,6,Cardano,ADA,$ 9.73B
2021-01-07,7,Polkadot,DOT,$ 8.87B
2021-01-07,8,Bitcoin Cash,BCH,$ 8.51B
2021-01-07,9,Stellar,XLM,$ 7.07B
2021-01-07,10,Chainlink,LINK,$ 6.50B
2021-01-07,11,Binance Coin,BNB,$ 6.30B
2021-01-07,12,USD Coin,USDC,$ 4.53B
2021-01-07,13,Bitcoin SV,BSV,$ 3.30B
2021-01-07,14,Monero,XMR,$ 2.62B
2021-01-07,15,Celsius Network,CEL,$ 2.59B
2021-01-07,16,NEM,XEM,$ 2.27B
2021-01-07,17,OKB,OKB,$ 2.17B
2021-01-07,18,TRON,TRX,$ 2.10B
2021-01-07,19,Tezos,XTZ,$ 1.95B
2021-01-07,20,Theta Token,THETA,$ 1.78B
2021-01-07,21,Cronos,CRO,$ 1.78B
2021-01-07,22,VeChain,VET,$ 1.61B
2021-01-07,23,NEO,NEO,$ 1.51B
2021-01-07,24,Aave,AAVE,$ 1.43B
