date,index,name,ticker,market_cap
2021-02-28,1,Bitcoin,BTC,$ 840.99B
2021-02-28,2,Ethereum,ETH,$ 162.59B
2021-02-28,3,Cardano,ADA,$ 41.32B
2021-02-28,4,Tether,USDT,$ 35.27B
2021-02-28,5,Binance Coin,BNB,$ 32.24B
2021-02-28,6,Polkadot,DOT,$ 30.39B
2021-02-28,7,XRP,XRP,$ 18.07B
2021-02-28,8,Litecoin,LTC,$ 10.98B
2021-02-28,9,Chainlink,LINK,$ 10.13B
2021-02-28,10,Stellar,XLM,$ 9.19B
2021-02-28,11,USD Coin,USDC,$ 9.02B
2021-02-28,12,Bitcoin Cash,BCH,$ 8.60B
2021-02-28,13,Dogecoin,DOGE,$ 6.31B
2021-02-28,14,NEM,XEM,$ 5.48B
2021-02-28,15,OKB,OKB,$ 4.54B
2021-02-28,16,Aave,AAVE,$ 4.45B
2021-02-28,17,Uniswap,UNI,$ 4.09B
2021-02-28,18,Monero,XMR,$ 3.91B
2021-02-28,19,Cosmos,ATOM,$ 3.77B
2021-02-28,20,Solana,SOL,$ 3.55B
2021-02-28,21,Bitcoin SV,BSV,$ 3.30B
2021-02-28,22,Cronos,CRO,$ 3.28B
2021-02-28,23,IOTA,IOTA,$ 3.12B
2021-02-28,24,TRON,TRX,$ 3.04B
