date,index,name,ticker,market_cap
2021-03-30,1,Bitcoin,BTC,$ 1.10T
2021-03-30,2,Ethereum,ETH,$ 212.69B
2021-03-30,3,Binance Coin,BNB,$ 47.59B
2021-03-30,4,Tether,USDT,$ 40.77B
2021-03-30,5,Cardano,ADA,$ 38.18B
2021-03-30,6,Polkadot,DOT,$ 30.47B
2021-03-30,7,XRP,XRP,$ 24.57B
2021-03-30,8,Litecoin,LTC,$ 13.05B
2021-03-30,9,Chainlink,LINK,$ 11.56B
2021-03-30,10,Theta Token,THETA,$ 11.38B
2021-03-30,11,USD Coin,USDC,$ 10.90B
2021-03-30,12,Klaytn,KLAY,$ 10.33B
2021-03-30,13,Bitcoin Cash,BCH,$ 9.83B
2021-03-30,14,Filecoin,FIL,$ 9.27B
2021-03-30,15,Stellar,XLM,$ 9.16B
2021-03-30,16,Terra Classic,LUNC,$ 7.34B
2021-03-30,17,Dogecoin,DOGE,$ 7.10B
2021-03-30,18,Cronos,CRO,$ 5.58B
2021-03-30,19,Uniswap,UNI,$ 5.22B
2021-03-30,20,Solana,SOL,$ 5.17B
2021-03-30,21,VeChain,VET,$ 4.96B
2021-03-30,22,Aave,AAVE,$ 4.72B
2021-03-30,23,Kusama,KSM,$ 4.63B
2021-03-30,24,OKB,OKB,$ 4.60B
