date,index,name,ticker,market_cap
2021-03-21,1,Bitcoin,BTC,$ 1.08T
2021-03-21,2,Ethereum,ETH,$ 207.41B
2021-03-21,3,Binance Coin,BNB,$ 41.08B
2021-03-21,4,Tether,USDT,$ 39.74B
2021-03-21,5,Cardano,ADA,$ 37.72B
2021-03-21,6,Polkadot,DOT,$ 33.21B
2021-03-21,7,XRP,XRP,$ 22.35B
2021-03-21,8,Litecoin,LTC,$ 13.17B
2021-03-21,9,Chainlink,LINK,$ 12.25B
2021-03-21,10,USD Coin,USDC,$ 10.20B
2021-03-21,11,Bitcoin Cash,BCH,$ 9.86B
2021-03-21,12,Stellar,XLM,$ 9.28B
2021-03-21,13,Terra Classic,LUNC,$ 9.05B
2021-03-21,14,Theta Token,THETA,$ 8.27B
2021-03-21,15,Dogecoin,DOGE,$ 7.47B
2021-03-21,16,Uniswap,UNI,$ 6.04B
2021-03-21,17,Cronos,CRO,$ 5.68B
2021-03-21,18,VeChain,VET,$ 5.18B
2021-03-21,19,Filecoin,FIL,$ 4.84B
2021-03-21,20,Aave,AAVE,$ 4.59B
2021-03-21,21,Cosmos,ATOM,$ 4.41B
2021-03-21,22,TRON,TRX,$ 4.25B
2021-03-21,23,Avalanche,AVAX,$ 4.24B
2021-03-21,24,Monero,XMR,$ 4.19B
