date,index,name,ticker,market_cap
2021-02-26,1,Bitcoin,BTC,$ 851.23B
2021-02-26,2,Ethereum,ETH,$ 164.51B
2021-02-26,3,Cardano,ADA,$ 38.26B
2021-02-26,4,Tether,USDT,$ 35.01B
2021-02-26,5,Binance Coin,BNB,$ 33.75B
2021-02-26,6,Polkadot,DOT,$ 27.61B
2021-02-26,7,XRP,XRP,$ 18.36B
2021-02-26,8,Litecoin,LTC,$ 11.21B
2021-02-26,9,Chainlink,LINK,$ 10.19B
2021-02-26,10,Bitcoin Cash,BCH,$ 8.97B
2021-02-26,11,USD Coin,USDC,$ 8.80B
2021-02-26,12,Stellar,XLM,$ 8.62B
2021-02-26,13,Dogecoin,DOGE,$ 6.44B
2021-02-26,14,OKB,OKB,$ 4.58B
2021-02-26,15,NEM,XEM,$ 4.51B
2021-02-26,16,Uniswap,UNI,$ 4.12B
2021-02-26,17,Aave,AAVE,$ 3.97B
2021-02-26,18,Cosmos,ATOM,$ 3.75B
2021-02-26,19,Cronos,CRO,$ 3.70B
2021-02-26,20,Solana,SOL,$ 3.57B
2021-02-26,21,Monero,XMR,$ 3.57B
2021-02-26,22,Bitcoin SV,BSV,$ 3.34B
2021-02-26,23,IOTA,IOTA,$ 3.06B
2021-02-26,24,TRON,TRX,$ 2.97B
