date,index,name,ticker,market_cap
2020-07-18,1,Bitcoin,BTC,$ 169.12B
2020-07-18,2,Ethereum,ETH,$ 26.35B
2020-07-18,3,Tether,USDT,$ 9.89B
2020-07-18,4,XRP,XRP,$ 8.67B
2020-07-18,5,Bitcoin Cash,BCH,$ 4.15B
2020-07-18,6,Cardano,ADA,$ 3.87B
2020-07-18,7,Bitcoin SV,BSV,$ 3.21B
2020-07-18,8,Chainlink,LINK,$ 2.80B
2020-07-18,9,Litecoin,LTC,$ 2.77B
2020-07-18,10,Binance Coin,BNB,$ 2.67B
2020-07-18,11,Cronos,CRO,$ 2.64B
2020-07-18,12,Tezos,XTZ,$ 2.18B
2020-07-18,13,Stellar,XLM,$ 2.07B
2020-07-18,14,OKB,OKB,$ 1.46B
2020-07-18,15,Monero,XMR,$ 1.20B
2020-07-18,16,TRON,TRX,$ 1.16B
2020-07-18,17,UNUS SED LEO,LEO,$ 1.15B
2020-07-18,18,USD Coin,USDC,$ 1.12B
2020-07-18,19,VeChain,VET,$ 1.01B
2020-07-18,20,Huobi Token,HT,$ 902.15M
2020-07-18,21,Cosmos,ATOM,$ 840.94M
2020-07-18,22,NEO,NEO,$ 744.18M
2020-07-18,23,Ethereum Classic,ETC,$ 706.02M
2020-07-18,24,Dash,DASH,$ 665.89M
