date,index,name,ticker,market_cap
2020-09-12,1,Bitcoin,BTC,$ 192.84B
2020-09-12,2,Ethereum,ETH,$ 42.89B
2020-09-12,3,Tether,USDT,$ 14.69B
2020-09-12,4,XRP,XRP,$ 10.66B
2020-09-12,5,Polkadot,DOT,$ 4.63B
2020-09-12,6,Chainlink,LINK,$ 4.42B
2020-09-12,7,Bitcoin Cash,BCH,$ 4.22B
2020-09-12,8,Binance Coin,BNB,$ 4.05B
2020-09-12,9,Litecoin,LTC,$ 3.32B
2020-09-12,10,Cronos,CRO,$ 3.23B
2020-09-12,11,Bitcoin SV,BSV,$ 3.11B
2020-09-12,12,Cardano,ADA,$ 3.05B
2020-09-12,13,TRON,TRX,$ 2.18B
2020-09-12,14,USD Coin,USDC,$ 1.96B
2020-09-12,15,Tezos,XTZ,$ 1.87B
2020-09-12,16,Stellar,XLM,$ 1.72B
2020-09-12,17,OKB,OKB,$ 1.58B
2020-09-12,18,Monero,XMR,$ 1.53B
2020-09-12,19,NEO,NEO,$ 1.51B
2020-09-12,20,yearn.finance,YFI,$ 1.26B
2020-09-12,21,UNUS SED LEO,LEO,$ 1.21B
2020-09-12,22,NEM,XEM,$ 1.15B
2020-09-12,23,Cosmos,ATOM,$ 1.13B
2020-09-12,24,UMA,UMA,$ 1.03B
