date,index,name,ticker,market_cap
2020-12-09,1,Bitcoin,BTC,$ 344.54B
2020-12-09,2,Ethereum,ETH,$ 65.49B
2020-12-09,3,XRP,XRP,$ 25.49B
2020-12-09,4,Tether,USDT,$ 19.75B
2020-12-09,5,Litecoin,LTC,$ 5.13B
2020-12-09,6,Bitcoin Cash,BCH,$ 5.03B
2020-12-09,7,Chainlink,LINK,$ 5.02B
2020-12-09,8,Cardano,ADA,$ 4.67B
2020-12-09,9,Polkadot,DOT,$ 4.41B
2020-12-09,10,Binance Coin,BNB,$ 4.09B
2020-12-09,11,Stellar,XLM,$ 3.72B
2020-12-09,12,Bitcoin SV,BSV,$ 3.16B
2020-12-09,13,USD Coin,USDC,$ 3.09B
2020-12-09,14,Monero,XMR,$ 2.37B
2020-12-09,15,NEM,XEM,$ 1.94B
2020-12-09,16,TRON,TRX,$ 1.92B
2020-12-09,17,Tezos,XTZ,$ 1.65B
2020-12-09,18,OKB,OKB,$ 1.48B
2020-12-09,19,Filecoin,FIL,$ 1.36B
2020-12-09,20,Cronos,CRO,$ 1.33B
2020-12-09,21,UNUS SED LEO,LEO,$ 1.31B
2020-12-09,22,NEO,NEO,$ 1.20B
2020-12-09,23,Multi-Collateral Dai,DAI,$ 1.08B
2020-12-09,24,Celsius Network,CEL,$ 1.05B
