date,index,name,ticker,market_cap
2020-04-23,1,Bitcoin,BTC,$ 138.74B
2020-04-23,2,Ethereum,ETH,$ 20.94B
2020-04-23,3,XRP,XRP,$ 8.45B
2020-04-23,4,Tether,USDT,$ 7.13B
2020-04-23,5,Bitcoin Cash,BCH,$ 4.44B
2020-04-23,6,Bitcoin SV,BSV,$ 3.62B
2020-04-23,7,Litecoin,LTC,$ 2.81B
2020-04-23,8,Binance Coin,BNB,$ 2.53B
2020-04-23,9,Tezos,XTZ,$ 1.79B
2020-04-23,10,OKB,OKB,$ 1.40B
2020-04-23,11,Chainlink,LINK,$ 1.34B
2020-04-23,12,Stellar,XLM,$ 1.29B
2020-04-23,13,Cardano,ADA,$ 1.08B
2020-04-23,14,Monero,XMR,$ 1.06B
2020-04-23,15,UNUS SED LEO,LEO,$ 1.02B
2020-04-23,16,TRON,TRX,$ 921.19M
2020-04-23,17,Huobi Token,HT,$ 883.99M
2020-04-23,18,Dash,DASH,$ 781.31M
2020-04-23,19,USD Coin,USDC,$ 723.85M
2020-04-23,20,Ethereum Classic,ETC,$ 662.99M
2020-04-23,21,NEO,NEO,$ 562.90M
2020-04-23,22,Cronos,CRO,$ 547.76M
2020-04-23,23,Cosmos,ATOM,$ 471.00M
2020-04-23,24,IOTA,IOTA,$ 451.36M
