date,index,name,ticker,market_cap
2020-12-31,1,Bitcoin,BTC,$ 540.23B
2020-12-31,2,Ethereum,ETH,$ 85.03B
2020-12-31,3,Tether,USDT,$ 20.94B
2020-12-31,4,XRP,XRP,$ 9.70B
2020-12-31,5,Litecoin,LTC,$ 8.22B
2020-12-31,6,Polkadot,DOT,$ 7.94B
2020-12-31,7,Bitcoin Cash,BCH,$ 6.41B
2020-12-31,8,Cardano,ADA,$ 5.69B
2020-12-31,9,Binance Coin,BNB,$ 5.36B
2020-12-31,10,Chainlink,LINK,$ 4.47B
2020-12-31,11,USD Coin,USDC,$ 3.93B
2020-12-31,12,Bitcoin SV,BSV,$ 3.04B
2020-12-31,13,Monero,XMR,$ 2.79B
2020-12-31,14,Stellar,XLM,$ 2.78B
2020-12-31,15,Celsius Network,CEL,$ 2.49B
2020-12-31,16,OKB,OKB,$ 2.26B
2020-12-31,17,NEM,XEM,$ 1.81B
2020-12-31,18,TRON,TRX,$ 1.78B
2020-12-31,19,Theta Token,THETA,$ 1.63B
2020-12-31,20,Tezos,XTZ,$ 1.51B
2020-12-31,21,UNUS SED LEO,LEO,$ 1.35B
2020-12-31,22,Cronos,CRO,$ 1.32B
2020-12-31,23,Cosmos,ATOM,$ 1.28B
2020-12-31,24,Multi-Collateral Dai,DAI,$ 1.17B
