date,index,name,ticker,market_cap
2020-12-04,1,Bitcoin,BTC,$ 348.92B
2020-12-04,2,Ethereum,ETH,$ 65.73B
2020-12-04,3,XRP,XRP,$ 24.15B
2020-12-04,4,Tether,USDT,$ 19.56B
2020-12-04,5,Litecoin,LTC,$ 5.35B
2020-12-04,6,Bitcoin Cash,BCH,$ 5.25B
2020-12-04,7,Chainlink,LINK,$ 5.08B
2020-12-04,8,Cardano,ADA,$ 4.75B
2020-12-04,9,Polkadot,DOT,$ 4.55B
2020-12-04,10,Binance Coin,BNB,$ 4.22B
2020-12-04,11,Stellar,XLM,$ 3.56B
2020-12-04,12,Bitcoin SV,BSV,$ 3.34B
2020-12-04,13,USD Coin,USDC,$ 2.97B
2020-12-04,14,Monero,XMR,$ 2.30B
2020-12-04,15,NEM,XEM,$ 2.24B
2020-12-04,16,TRON,TRX,$ 1.98B
2020-12-04,17,Tezos,XTZ,$ 1.70B
2020-12-04,18,OKB,OKB,$ 1.44B
2020-12-04,19,Cronos,CRO,$ 1.40B
2020-12-04,20,UNUS SED LEO,LEO,$ 1.33B
2020-12-04,21,Filecoin,FIL,$ 1.30B
2020-12-04,22,NEO,NEO,$ 1.23B
2020-12-04,23,Multi-Collateral Dai,DAI,$ 1.07B
2020-12-04,24,Cosmos,ATOM,$ 1.06B
