date,index,name,ticker,market_cap
2020-12-25,1,Bitcoin,BTC,$ 455.23B
2020-12-25,2,Ethereum,ETH,$ 70.61B
2020-12-25,3,Tether,USDT,$ 20.67B
2020-12-25,4,XRP,XRP,$ 13.79B
2020-12-25,5,Litecoin,LTC,$ 8.12B
2020-12-25,6,Bitcoin Cash,BCH,$ 5.78B
2020-12-25,7,Cardano,ADA,$ 4.93B
2020-12-25,8,Binance Coin,BNB,$ 4.68B
2020-12-25,9,Polkadot,DOT,$ 4.62B
2020-12-25,10,Chainlink,LINK,$ 4.57B
2020-12-25,11,USD Coin,USDC,$ 3.55B
2020-12-25,12,Stellar,XLM,$ 3.32B
2020-12-25,13,Bitcoin SV,BSV,$ 3.03B
2020-12-25,14,Monero,XMR,$ 2.81B
2020-12-25,15,NEM,XEM,$ 2.22B
2020-12-25,16,TRON,TRX,$ 1.87B
2020-12-25,17,OKB,OKB,$ 1.74B
2020-12-25,18,Celsius Network,CEL,$ 1.69B
2020-12-25,19,Tezos,XTZ,$ 1.52B
2020-12-25,20,UNUS SED LEO,LEO,$ 1.35B
2020-12-25,21,Cronos,CRO,$ 1.29B
2020-12-25,22,Multi-Collateral Dai,DAI,$ 1.12B
2020-12-25,23,Theta Token,THETA,$ 1.10B
2020-12-25,24,NEO,NEO,$ 1.06B
