date,index,name,ticker,market_cap
2020-07-05,1,Bitcoin,BTC,$ 166.65B
2020-07-05,2,Ethereum,ETH,$ 25.33B
2020-07-05,3,Tether,USDT,$ 9.71B
2020-07-05,4,XRP,XRP,$ 7.63B
2020-07-05,5,Bitcoin Cash,BCH,$ 4.07B
2020-07-05,6,Bitcoin SV,BSV,$ 2.84B
2020-07-05,7,Litecoin,LTC,$ 2.69B
2020-07-05,8,Cardano,ADA,$ 2.53B
2020-07-05,9,Binance Coin,BNB,$ 2.41B
2020-07-05,10,Chainlink,LINK,$ 1.66B
2020-07-05,11,Tezos,XTZ,$ 1.63B
2020-07-05,12,OKB,OKB,$ 1.36B
2020-07-05,13,Stellar,XLM,$ 1.36B
2020-07-05,14,Cronos,CRO,$ 1.34B
2020-07-05,15,UNUS SED LEO,LEO,$ 1.16B
2020-07-05,16,Monero,XMR,$ 1.11B
2020-07-05,17,TRON,TRX,$ 1.11B
2020-07-05,18,USD Coin,USDC,$ 1.04B
2020-07-05,19,Huobi Token,HT,$ 885.78M
2020-07-05,20,VeChain,VET,$ 803.18M
2020-07-05,21,NEO,NEO,$ 692.69M
2020-07-05,22,Ethereum Classic,ETC,$ 654.84M
2020-07-05,23,IOTA,IOTA,$ 648.12M
2020-07-05,24,Dash,DASH,$ 641.55M
