date,index,name,ticker,market_cap
2020-06-26,1,Bitcoin,BTC,$ 169.17B
2020-06-26,2,Ethereum,ETH,$ 25.72B
2020-06-26,3,Tether,USDT,$ 9.64B
2020-06-26,4,XRP,XRP,$ 7.93B
2020-06-26,5,Bitcoin Cash,BCH,$ 4.26B
2020-06-26,6,Bitcoin SV,BSV,$ 3.10B
2020-06-26,7,Litecoin,LTC,$ 2.80B
2020-06-26,8,Binance Coin,BNB,$ 2.46B
2020-06-26,9,Cardano,ADA,$ 2.10B
2020-06-26,10,Tezos,XTZ,$ 1.79B
2020-06-26,11,Chainlink,LINK,$ 1.65B
2020-06-26,12,OKB,OKB,$ 1.45B
2020-06-26,13,Stellar,XLM,$ 1.36B
2020-06-26,14,UNUS SED LEO,LEO,$ 1.20B
2020-06-26,15,Cronos,CRO,$ 1.19B
2020-06-26,16,Monero,XMR,$ 1.13B
2020-06-26,17,TRON,TRX,$ 1.06B
2020-06-26,18,USD Coin,USDC,$ 952.78M
2020-06-26,19,Huobi Token,HT,$ 918.43M
2020-06-26,20,NEO,NEO,$ 723.02M
2020-06-26,21,Ethereum Classic,ETC,$ 704.86M
2020-06-26,22,Dash,DASH,$ 679.96M
2020-06-26,23,Compound,COMP,$ 664.75M
2020-06-26,24,IOTA,IOTA,$ 600.97M
