date,index,name,ticker,market_cap
2020-04-01,1,Bitcoin,BTC,$ 117.59B
2020-04-01,2,Ethereum,ETH,$ 14.63B
2020-04-01,3,XRP,XRP,$ 7.52B
2020-04-01,4,Tether,USDT,$ 4.30B
2020-04-01,5,Bitcoin Cash,BCH,$ 4.05B
2020-04-01,6,Bitcoin SV,BSV,$ 3.04B
2020-04-01,7,Litecoin,LTC,$ 2.49B
2020-04-01,8,Binance Coin,BNB,$ 1.94B
2020-04-01,9,Tezos,XTZ,$ 1.12B
2020-04-01,10,UNUS SED LEO,LEO,$ 1.04B
2020-04-01,11,Monero,XMR,$ 838.03M
2020-04-01,12,Stellar,XLM,$ 816.58M
2020-04-01,13,Cardano,ADA,$ 784.18M
2020-04-01,14,Chainlink,LINK,$ 780.50M
2020-04-01,15,TRON,TRX,$ 760.43M
2020-04-01,16,Huobi Token,HT,$ 751.30M
2020-04-01,17,USD Coin,USDC,$ 692.30M
2020-04-01,18,Dash,DASH,$ 611.83M
2020-04-01,19,Ethereum Classic,ETC,$ 579.24M
2020-04-01,20,Cronos,CRO,$ 494.61M
2020-04-01,21,NEO,NEO,$ 469.08M
2020-04-01,22,IOTA,IOTA,$ 398.77M
2020-04-01,23,Cosmos,ATOM,$ 371.97M
2020-04-01,24,NEM,XEM,$ 326.30M
