date,index,name,ticker,market_cap
2018-02-03,1,Bitcoin,BTC,$ 155.15B
2018-02-03,2,Ethereum,ETH,$ 93.83B
2018-02-03,3,XRP,XRP,$ 36.24B
2018-02-03,4,Bitcoin Cash,BCH,$ 21.30B
2018-02-03,5,Cardano,ADA,$ 11.99B
2018-02-03,6,Litecoin,LTC,$ 8.62B
2018-02-03,7,Stellar,XLM,$ 8.05B
2018-02-03,8,NEO,NEO,$ 8.02B
2018-02-03,9,NEM,XEM,$ 5.62B
2018-02-03,10,IOTA,IOTA,$ 5.47B
2018-02-03,11,Dash,DASH,$ 5.06B
2018-02-03,12,Monero,XMR,$ 3.94B
2018-02-03,13,TRON,TRX,$ 2.94B
2018-02-03,14,Ethereum Classic,ETC,$ 2.38B
2018-02-03,15,Tether,USDT,$ 2.22B
2018-02-03,16,Nano,XNO,$ 2.14B
2018-02-03,17,ICON,ICX,$ 2.07B
2018-02-03,18,Bitcoin Gold,BTG,$ 1.91B
2018-02-03,19,OMG Network,OMG,$ 1.45B
2018-02-03,20,Zcash,ZEC,$ 1.26B
2018-02-03,21,Steem,STEEM,$ 1.18B
2018-02-03,22,Siacoin,SC,$ 934.65M
2018-02-03,23,Verge,XVG,$ 932.37M
2018-02-03,24,BitShares,BTS,$ 888.03M
