date,index,name,ticker,market_cap
2018-05-28,1,Bitcoin,BTC,$ 122.26B
2018-05-28,2,Ethereum,ETH,$ 51.53B
2018-05-28,3,XRP,XRP,$ 21.99B
2018-05-28,4,Bitcoin Cash,BCH,$ 15.35B
2018-05-28,5,Litecoin,LTC,$ 6.35B
2018-05-28,6,Stellar,XLM,$ 4.73B
2018-05-28,7,Cardano,ADA,$ 4.55B
2018-05-28,8,TRON,TRX,$ 4.01B
2018-05-28,9,IOTA,IOTA,$ 3.80B
2018-05-28,10,NEO,NEO,$ 3.15B
2018-05-28,11,Tether,USDT,$ 2.52B
2018-05-28,12,Monero,XMR,$ 2.43B
2018-05-28,13,Dash,DASH,$ 2.34B
2018-05-28,14,NEM,XEM,$ 2.07B
2018-05-28,15,Ethereum Classic,ETC,$ 1.49B
2018-05-28,16,OMG Network,OMG,$ 989.51M
2018-05-28,17,Zcash,ZEC,$ 918.55M
2018-05-28,18,ICON,ICX,$ 859.56M
2018-05-28,19,Zilliqa,ZIL,$ 750.50M
2018-05-28,20,Ontology,ONT,$ 699.95M
2018-05-28,21,Aeternity,AE,$ 693.69M
2018-05-28,22,Bitcoin Gold,BTG,$ 694.10M
2018-05-28,23,Decred,DCR,$ 642.24M
2018-05-28,24,Steem,STEEM,$ 573.86M
