date,index,name,ticker,market_cap
2018-07-26,1,Bitcoin,BTC,$ 136.88B
2018-07-26,2,Ethereum,ETH,$ 47.00B
2018-07-26,3,XRP,XRP,$ 17.73B
2018-07-26,4,Bitcoin Cash,BCH,$ 13.80B
2018-07-26,5,Stellar,XLM,$ 5.67B
2018-07-26,6,Litecoin,LTC,$ 4.81B
2018-07-26,7,Cardano,ADA,$ 4.27B
2018-07-26,8,IOTA,IOTA,$ 2.84B
2018-07-26,9,Tether,USDT,$ 2.51B
2018-07-26,10,TRON,TRX,$ 2.37B
2018-07-26,11,Monero,XMR,$ 2.24B
2018-07-26,12,OKB,OKB,$ 2.19B
2018-07-26,13,NEO,NEO,$ 2.16B
2018-07-26,14,Dash,DASH,$ 2.01B
2018-07-26,15,Ethereum Classic,ETC,$ 1.71B
2018-07-26,16,NEM,XEM,$ 1.60B
2018-07-26,17,Tezos,XTZ,$ 1.28B
2018-07-26,18,Binance Coin,BNB,$ 1.26B
2018-07-26,19,OMG Network,OMG,$ 983.12M
2018-07-26,20,Zcash,ZEC,$ 982.86M
2018-07-26,21,CoinEx Token,CET,$ 883.86M
2018-07-26,22,Qtum,QTUM,$ 719.96M
2018-07-26,23,0x,ZRX,$ 580.27M
2018-07-26,24,Zilliqa,ZIL,$ 562.37M
