date,index,name,ticker,market_cap
2018-09-13,1,Bitcoin,BTC,$ 112.14B
2018-09-13,2,Ethereum,ETH,$ 21.18B
2018-09-13,3,XRP,XRP,$ 11.03B
2018-09-13,4,Bitcoin Cash,BCH,$ 8.15B
2018-09-13,5,Stellar,XLM,$ 3.91B
2018-09-13,6,Litecoin,LTC,$ 3.15B
2018-09-13,7,Tether,USDT,$ 2.79B
2018-09-13,8,Monero,XMR,$ 1.84B
2018-09-13,9,Cardano,ADA,$ 1.82B
2018-09-13,10,IOTA,IOTA,$ 1.62B
2018-09-13,11,Dash,DASH,$ 1.62B
2018-09-13,12,TRON,TRX,$ 1.32B
2018-09-13,13,NEO,NEO,$ 1.19B
2018-09-13,14,Ethereum Classic,ETC,$ 1.16B
2018-09-13,15,Binance Coin,BNB,$ 915.01M
2018-09-13,16,NEM,XEM,$ 822.34M
2018-09-13,17,Tezos,XTZ,$ 799.23M
2018-09-13,18,VeChain,VET,$ 780.40M
2018-09-13,19,Dogecoin,DOGE,$ 759.71M
2018-09-13,20,OKB,OKB,$ 741.75M
2018-09-13,21,Zcash,ZEC,$ 561.14M
2018-09-13,22,OMG Network,OMG,$ 481.04M
2018-09-13,23,Lisk,LSK,$ 383.11M
2018-09-13,24,Bitcoin Gold,BTG,$ 348.26M
