date,index,name,ticker,market_cap
2018-03-27,1,Bitcoin,BTC,$ 135.63B
2018-03-27,2,Ethereum,ETH,$ 45.33B
2018-03-27,3,XRP,XRP,$ 23.05B
2018-03-27,4,Bitcoin Cash,BCH,$ 15.28B
2018-03-27,5,Litecoin,LTC,$ 7.78B
2018-03-27,6,Stellar,XLM,$ 4.17B
2018-03-27,7,Cardano,ADA,$ 4.14B
2018-03-27,8,NEO,NEO,$ 3.73B
2018-03-27,9,IOTA,IOTA,$ 3.32B
2018-03-27,10,Monero,XMR,$ 3.05B
2018-03-27,11,TRON,TRX,$ 2.94B
2018-03-27,12,Dash,DASH,$ 2.88B
2018-03-27,13,Tether,USDT,$ 2.30B
2018-03-27,14,NEM,XEM,$ 2.29B
2018-03-27,15,Ethereum Classic,ETC,$ 1.65B
2018-03-27,16,ICON,ICX,$ 1.13B
2018-03-27,17,OMG Network,OMG,$ 1.02B
2018-03-27,18,Bitcoin Gold,BTG,$ 914.90M
2018-03-27,19,Nano,XNO,$ 890.45M
2018-03-27,20,Zcash,ZEC,$ 789.24M
2018-03-27,21,Verge,XVG,$ 621.10M
2018-03-27,22,Ontology,ONT,$ 551.16M
2018-03-27,23,Siacoin,SC,$ 454.45M
2018-03-27,24,Steem,STEEM,$ 447.00M
