date,index,name,ticker,market_cap
2018-07-22,1,Bitcoin,BTC,$ 127.50B
2018-07-22,2,Ethereum,ETH,$ 46.59B
2018-07-22,3,XRP,XRP,$ 17.80B
2018-07-22,4,Bitcoin Cash,BCH,$ 13.64B
2018-07-22,5,Stellar,XLM,$ 5.36B
2018-07-22,6,Litecoin,LTC,$ 4.78B
2018-07-22,7,Cardano,ADA,$ 4.40B
2018-07-22,8,Tether,USDT,$ 3.31B
2018-07-22,9,IOTA,IOTA,$ 2.73B
2018-07-22,10,TRON,TRX,$ 2.33B
2018-07-22,11,NEO,NEO,$ 2.17B
2018-07-22,12,OKB,OKB,$ 2.17B
2018-07-22,13,Monero,XMR,$ 2.11B
2018-07-22,14,Dash,DASH,$ 2.06B
2018-07-22,15,Ethereum Classic,ETC,$ 1.67B
2018-07-22,16,NEM,XEM,$ 1.54B
2018-07-22,17,Tezos,XTZ,$ 1.32B
2018-07-22,18,Binance Coin,BNB,$ 1.12B
2018-07-22,19,OMG Network,OMG,$ 980.32M
2018-07-22,20,CoinEx Token,CET,$ 925.58M
2018-07-22,21,Zcash,ZEC,$ 827.01M
2018-07-22,22,Qtum,QTUM,$ 735.92M
2018-07-22,23,0x,ZRX,$ 623.68M
2018-07-22,24,Decred,DCR,$ 574.89M
