date,index,name,ticker,market_cap
2018-08-10,1,Bitcoin,BTC,$ 105.56B
2018-08-10,2,Ethereum,ETH,$ 33.51B
2018-08-10,3,XRP,XRP,$ 12.55B
2018-08-10,4,Bitcoin Cash,BCH,$ 9.80B
2018-08-10,5,Stellar,XLM,$ 4.09B
2018-08-10,6,Litecoin,LTC,$ 3.43B
2018-08-10,7,Cardano,ADA,$ 2.95B
2018-08-10,8,Tether,USDT,$ 2.39B
2018-08-10,9,IOTA,IOTA,$ 1.55B
2018-08-10,10,TRON,TRX,$ 1.55B
2018-08-10,11,Monero,XMR,$ 1.50B
2018-08-10,12,Ethereum Classic,ETC,$ 1.48B
2018-08-10,13,OKB,OKB,$ 1.42B
2018-08-10,14,Dash,DASH,$ 1.39B
2018-08-10,15,NEO,NEO,$ 1.29B
2018-08-10,16,Binance Coin,BNB,$ 1.14B
2018-08-10,17,NEM,XEM,$ 1.03B
2018-08-10,18,Tezos,XTZ,$ 944.14M
2018-08-10,19,Zcash,ZEC,$ 728.23M
2018-08-10,20,OMG Network,OMG,$ 615.68M
2018-08-10,21,VeChain,VET,$ 568.48M
2018-08-10,22,0x,ZRX,$ 463.17M
2018-08-10,23,Qtum,QTUM,$ 453.80M
2018-08-10,24,Aurora,AOA,$ 399.02M
