date,index,name,ticker,market_cap
2018-04-17,1,Bitcoin,BTC,$ 134.86B
2018-04-17,2,Ethereum,ETH,$ 49.97B
2018-04-17,3,XRP,XRP,$ 26.10B
2018-04-17,4,Bitcoin Cash,BCH,$ 13.02B
2018-04-17,5,Litecoin,LTC,$ 7.53B
2018-04-17,6,Cardano,ADA,$ 6.41B
2018-04-17,7,Stellar,XLM,$ 5.64B
2018-04-17,8,NEO,NEO,$ 4.32B
2018-04-17,9,IOTA,IOTA,$ 4.31B
2018-04-17,10,Monero,XMR,$ 3.12B
2018-04-17,11,NEM,XEM,$ 3.03B
2018-04-17,12,Dash,DASH,$ 2.97B
2018-04-17,13,TRON,TRX,$ 2.77B
2018-04-17,14,Tether,USDT,$ 2.28B
2018-04-17,15,Ethereum Classic,ETC,$ 1.64B
2018-04-17,16,OMG Network,OMG,$ 1.46B
2018-04-17,17,ICON,ICX,$ 1.09B
2018-04-17,18,Verge,XVG,$ 1.05B
2018-04-17,19,Ontology,ONT,$ 998.73M
2018-04-17,20,Bitcoin Gold,BTG,$ 868.59M
2018-04-17,21,Zcash,ZEC,$ 827.84M
2018-04-17,22,Nano,XNO,$ 789.61M
2018-04-17,23,Steem,STEEM,$ 697.85M
2018-04-17,24,Siacoin,SC,$ 602.59M
